Name,Provider,Building,Street,City,Postcode,Phone,Web,Email,Opening_times,Notes,Category,Longitude,Latitude,Source,Country
Credit Unions,Credit Union,Trumpington Pavilion,Paget Road,Cambridge,CB2 9JT,,,,Wednesdays 10:00 to 12:00,,Debt & money & loan sharks,0.11421,52.172584,Foodbank list & internet search,England
Akeman Street,Cambridge City Council,,82 Akeman Street,Arbury,CB4 3HG,01223 508 150,https://www.cambridge.gov.uk/82-akeman-street-community-room,akeman.street@cambridge.gov.uk,,,Community Centres,0.114905,52.219285,Foodbank list & internet search,
Arbury Children's Centre,Cambridgeshire County Council,The ArC,Akeman Street,Cambridge,CB4 3HG,01223 703 828,,arburychildrenscentre@cambridgeshire.gov.uk,,Services across Cambridge ranging from toddler groups to child health to baby clinics and parenting courses.,Children & young people,0.114905,52.219285,Foodbank list & internet search,
C3 Centre Trumpington foodbank,Cambridge Foodbank,C3 Centre,14 Alpha Terrace,Trumpington,CB2 9HT,,https://cambridgecity.foodbank.org.uk/locations/,,Fridays 11:00 to 13:00,,Food,0.116112,52.176605,Foodbank list & internet search,
Credit Unions,Credit Union,Meadows Community Centre,St Catharine’s Road,Arbury,CB4 3XJ,,,,Tuesdays 11:00 to 13:00,,Debt & money & loan sharks,0.11695,52.230579,Foodbank list & internet search,
Meadows Community Centre,Cambridge City Council,,1 St Catharine's Street,Cambridge,CB4 3XJ,01223 508 140,https://www.cambridge.gov.uk/meadows-community-centre,meadows@cambridge.gov.uk,,,Community Centres,0.11695,52.230579,Foodbank list & internet search,
Job Centre Plus,DWP,Henry Giles House,73-79 Chesterton Road,Cambridge,CB4 3AP,0345 604 3719,,www.jobcentreonline.com,,Claim & stop or change your details for Job Seekers & Employment or Income Support.,Housing & employment & welfare,0.121537,52.213753,Foodbank list & internet search,
Buchan Street Neighbourhood Centre,Cambridge City Council,,6 Buchan Street,Cambridge,CB4 2XF,01223 508 149,https://www.cambridge.gov.uk/buchan-street-neighbourhood-centre,bsnc@cambridge.gov.uk,,,Community Centres,0.122761,52.232066,Foodbank list & internet search,
Inclusion drug & alcohol service,Inclusion,,1A Fortescue Road,Cambridge,CB4 2JS,0300 555 0101,,,,A Drug and Alcohol Service helping to break the cycle of crime and substance abuse,Drug & alcohol,0.124,52.226711,Foodbank list & internet search,
Credit Unions,Credit Union,Mandela House,Regent Street,Cambridge,CB2 1BY,,,,Mondays 11:00 to 13:00 Wednesdays 11:00 to 13:00 Thursdays 11:00 to 13:00,Registered with the Financial Services Authority. Savings are protected same way as banks. However you will not earn interest on them. The unions are co-operatives typically run by volunteers and any profits go towards funding loans to members. The main,Debt & money & loan sharks,0.124305,52.202122,Foodbank list & internet search,
Housing advice and services includin homelessness; home-link; housing management; housing repairs and sheltered housing maters,Cambridge City Council Customer Service Centre,Mandela House,Regent Street,Cambridge,CB2 1BY,01223 458005,www.cambridge.gov.uk,Independentliving@cambridge.gov.uk,,The scheme aims to help prevent social isolation and to signpost services which help older people to remain independent and access physical help or move to more suitable housing. Criteria: All residents of Cambridge,Housing & employment & welfare,0.124305,52.202122,Foodbank list & internet search,
Food cycle Cambridge,Wesley Methodist Church,Wesley Methodist Church,Christ Pieces,Cambridge,CB1 1LG,01223 352 115,,,Saturdays 12:30,,Food,0.125482,52.207163,Foodbank list & internet search,
